,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
0,1,4.0,3,6.0,3.0,3,2,9,1,11.0,1.0,1.0,5.0,159.93,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
3,1,0.0,3,15.0,2.0,4,5,8,0,23.0,0.0,1.0,3.0,134.07,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
5,1,0.0,1,22.0,3.0,5,5,2,1,22.0,4.0,6.0,7.0,139.19,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
11,1,11.0,1,6.0,3.0,4,3,10,1,13.0,0.0,1.0,0.0,153.81,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
12,1,0.0,1,11.0,2.0,3,3,2,1,13.0,2.0,2.0,2.0,134.41,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
13,1,0.0,1,15.0,3.0,4,3,1,1,17.0,0.0,1.0,0.0,133.88,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
14,1,9.0,3,15.0,3.0,4,2,2,0,16.0,0.0,4.0,7.0,196.19,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
17,1,0.0,3,11.0,2.0,4,3,2,1,11.0,1.0,1.0,3.0,157.44,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
18,1,0.0,1,13.0,3.0,5,3,2,1,24.0,1.0,1.0,6.0,160.74,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
19,1,19.0,1,20.0,3.0,3,4,10,1,18.0,1.0,4.0,3.0,149.63,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
20,1,0.0,3,12.0,3.0,5,3,5,1,18.0,6.0,7.0,7.0,161.72,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
21,1,20.0,1,29.0,3.0,3,2,2,0,12.0,11.0,15.0,6.0,203.12,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
23,1,0.0,3,26.0,3.0,5,3,4,1,11.0,1.0,2.0,2.0,145.59,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
24,1,14.0,1,14.0,2.0,5,2,3,0,15.0,0.0,1.0,3.0,206.5,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
25,1,0.0,1,15.0,2.0,3,5,8,0,22.0,1.0,1.0,4.0,142.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
26,0,8.0,3,6.0,3.0,3,4,2,0,13.0,1.0,1.0,6.0,172.95,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
29,0,5.0,3,14.0,2.0,3,2,2,0,14.0,2.0,3.0,7.0,189.98,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
30,0,2.0,1,6.0,2.0,3,3,2,0,13.0,0.0,1.0,9.0,143.19,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
31,0,0.0,1,13.0,2.0,4,3,3,0,17.0,1.0,1.0,0.0,161.32,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
32,0,30.0,1,15.0,3.0,4,4,5,1,20.0,1.0,1.0,0.0,133.46,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
33,0,13.0,3,10.0,3.0,4,2,8,0,11.0,2.0,2.0,11.0,208.55,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
38,0,30.0,1,30.0,2.0,2,2,4,1,16.0,1.0,1.0,4.0,194.39,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
42,0,3.0,3,11.0,2.0,3,2,3,0,12.0,2.0,7.0,4.0,194.19,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
43,0,11.0,3,6.0,2.0,4,2,5,0,22.0,1.0,1.0,1.0,186.86,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
49,0,18.0,3,10.0,1.0,3,5,5,1,11.0,0.0,1.0,3.0,150.06,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
50,0,29.0,1,14.0,3.0,3,5,5,1,18.0,1.0,2.0,2.0,142.57,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
52,1,0.0,1,8.0,2.0,4,2,2,0,22.0,0.0,1.0,0.0,111.02000000000001,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
53,0,19.0,3,6.0,3.0,3,5,2,0,25.0,4.0,15.0,7.0,204.53,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
55,0,4.0,1,18.0,3.0,3,2,9,1,23.0,1.0,1.0,2.0,139.29,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
58,0,23.0,1,6.0,2.0,4,3,3,0,15.0,0.0,1.0,2.0,136.9,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
59,0,26.0,1,19.0,2.0,2,5,2,0,11.0,1.0,1.0,3.0,144.5,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
63,0,7.0,1,8.0,2.0,4,3,2,0,17.0,0.0,1.0,9.0,195.47,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
67,1,0.0,1,29.0,2.0,4,3,4,1,13.0,1.0,1.0,1.0,159.16,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
70,0,10.0,1,27.0,3.0,2,5,2,1,12.0,0.0,1.0,7.0,135.64,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
71,0,8.0,1,8.0,2.0,3,4,6,0,11.0,1.0,1.0,2.0,144.25,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
72,0,15.0,1,27.0,2.0,3,3,3,0,16.0,0.0,1.0,2.0,152.65,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
